video_id,event_label,subaction_label,start_time,end_time,talent_label
V001,Floor,Roll,22.83,24.99,0
V001,Floor,Spin,18.13,21.5,1
V001,Floor,Swing,1.01,5.63,0
V001,Floor,Handstand,24.84,29.15,1
V001,Floor,Roll,20.73,23.48,1
V002,Floor,Leap,14.89,18.06,1
V002,Floor,Flip,12.43,15.0,0
V002,Floor,Handstand,1.55,5.69,0
V002,Floor,Swing,16.11,20.34,1
V002,Floor,Flip,37.83,42.26,0
V003,Uneven_Bars,Swing,21.05,23.83,0
V003,Uneven_Bars,Handstand,16.41,21.08,0
V003,Uneven_Bars,Leap,45.14,47.88,1
V003,Uneven_Bars,Spin,6.25,9.96,1
V003,Uneven_Bars,Swing,15.86,18.3,0
V004,Vault,Roll,37.71,38.94,0
V004,Vault,Spin,10.07,11.63,0
V004,Vault,Swing,13.9,16.19,1
V004,Vault,Handstand,41.92,46.43,1
V004,Vault,Roll,9.51,13.27,0
V005,Uneven_Bars,Swing,18.91,22.3,0
V005,Uneven_Bars,Swing,43.83,45.49,0
V005,Uneven_Bars,Spin,38.83,43.21,1
V005,Uneven_Bars,Handstand,11.6,15.83,1
V005,Uneven_Bars,Spin,4.17,5.48,1
V006,Floor,Handstand,11.26,14.27,1
V006,Floor,Roll,33.96,35.98,0
V006,Floor,Leap,38.99,41.54,0
V006,Floor,Leap,11.41,12.65,0
V006,Floor,Handstand,15.8,18.41,0
V007,Balance_Beam,Flip,2.15,3.19,0
V007,Balance_Beam,Handstand,7.93,9.36,0
V007,Balance_Beam,Leap,13.09,15.8,1
V007,Balance_Beam,Roll,16.99,21.8,1
V007,Balance_Beam,Swing,11.88,14.15,1
V008,Uneven_Bars,Swing,17.54,22.3,1
V008,Uneven_Bars,Leap,43.53,47.5,1
V008,Uneven_Bars,Leap,35.01,39.9,1
V008,Uneven_Bars,Handstand,34.78,37.97,1
V008,Uneven_Bars,Handstand,43.0,46.66,0
V009,Uneven_Bars,Flip,49.07,51.22,1
V009,Uneven_Bars,Swing,47.45,48.64,0
V009,Uneven_Bars,Roll,37.04,40.63,0
V009,Uneven_Bars,Spin,26.17,29.14,1
V009,Uneven_Bars,Handstand,30.08,32.51,1
V010,Vault,Handstand,27.33,29.52,0
V010,Vault,Spin,24.31,26.92,0
V010,Vault,Swing,4.93,8.78,0
V010,Vault,Flip,36.07,37.13,1
V010,Vault,Flip,39.08,42.86,1
V011,Uneven_Bars,Handstand,24.74,27.27,0
V011,Uneven_Bars,Spin,6.23,7.6,0
V011,Uneven_Bars,Leap,22.41,23.89,1
V011,Uneven_Bars,Handstand,41.98,45.91,0
V011,Uneven_Bars,Roll,41.64,44.51,1
V012,Floor,Flip,15.36,19.83,0
V012,Floor,Leap,29.24,30.42,0
V012,Floor,Roll,23.01,27.92,1
V012,Floor,Roll,39.49,40.52,0
V012,Floor,Leap,40.35,43.89,0
V013,Uneven_Bars,Leap,46.0,48.42,0
V013,Uneven_Bars,Roll,0.8,2.73,1
V013,Uneven_Bars,Roll,46.64,48.41,1
V013,Uneven_Bars,Flip,14.21,15.9,1
V013,Uneven_Bars,Leap,11.6,12.69,1
V014,Balance_Beam,Roll,44.37,48.08,0
V014,Balance_Beam,Flip,16.77,20.85,1
V014,Balance_Beam,Swing,14.68,16.06,1
V014,Balance_Beam,Flip,44.24,45.95,1
V014,Balance_Beam,Handstand,40.83,44.25,0
V015,Uneven_Bars,Spin,37.31,39.0,1
V015,Uneven_Bars,Leap,19.06,21.61,1
V015,Uneven_Bars,Roll,30.6,32.57,1
V015,Uneven_Bars,Leap,0.63,5.03,0
V015,Uneven_Bars,Spin,39.71,43.23,1
V016,Balance_Beam,Flip,2.39,3.4,0
V016,Balance_Beam,Swing,18.71,20.54,1
V016,Balance_Beam,Handstand,19.83,21.71,1
V016,Balance_Beam,Spin,21.07,24.33,1
V016,Balance_Beam,Leap,41.48,44.09,1
V017,Vault,Swing,9.77,13.11,0
V017,Vault,Spin,45.95,47.69,0
V017,Vault,Leap,37.92,42.75,0
V017,Vault,Leap,37.28,41.99,0
V017,Vault,Spin,24.18,25.29,0
V018,Balance_Beam,Handstand,30.44,34.02,1
V018,Balance_Beam,Leap,11.3,12.42,0
V018,Balance_Beam,Flip,28.59,30.41,0
V018,Balance_Beam,Spin,17.05,20.73,1
V018,Balance_Beam,Leap,41.44,44.7,1
V019,Uneven_Bars,Leap,5.44,9.07,0
V019,Uneven_Bars,Leap,42.61,46.32,0
V019,Uneven_Bars,Swing,40.75,42.72,1
V019,Uneven_Bars,Spin,10.37,13.82,1
V019,Uneven_Bars,Spin,7.93,10.97,0
V020,Balance_Beam,Swing,15.91,20.27,0
V020,Balance_Beam,Flip,34.19,36.7,0
V020,Balance_Beam,Handstand,13.06,17.31,1
V020,Balance_Beam,Leap,6.99,10.11,0
V020,Balance_Beam,Handstand,44.23,47.47,1
V021,Vault,Roll,48.57,49.61,1
V021,Vault,Leap,16.67,19.06,1
V021,Vault,Spin,18.95,23.82,1
V021,Vault,Handstand,38.04,41.08,0
V021,Vault,Leap,39.12,40.35,0
V022,Vault,Roll,10.39,11.81,1
V022,Vault,Spin,28.31,31.39,1
V022,Vault,Roll,9.57,12.29,1
V022,Vault,Flip,47.16,49.09,0
V022,Vault,Swing,20.95,23.65,1
V023,Floor,Spin,25.21,28.65,0
V023,Floor,Spin,20.21,24.45,1
V023,Floor,Spin,46.24,51.1,0
V023,Floor,Spin,25.5,29.21,0
V023,Floor,Flip,15.79,18.14,0
V024,Vault,Roll,43.4,47.5,0
V024,Vault,Roll,3.87,7.94,1
V024,Vault,Roll,16.78,18.8,0
V024,Vault,Flip,21.97,23.95,1
V024,Vault,Handstand,31.34,36.2,1
V025,Floor,Roll,27.79,31.33,1
V025,Floor,Roll,35.23,37.99,1
V025,Floor,Spin,1.09,5.68,1
V025,Floor,Roll,15.04,17.44,1
V025,Floor,Swing,20.29,24.88,0
V026,Floor,Swing,46.76,50.27,1
V026,Floor,Leap,23.7,27.79,0
V026,Floor,Handstand,44.58,49.07,1
V026,Floor,Swing,25.59,26.9,1
V026,Floor,Swing,33.41,35.18,0
V027,Uneven_Bars,Swing,3.85,8.5,0
V027,Uneven_Bars,Spin,15.05,20.03,1
V027,Uneven_Bars,Leap,45.17,46.85,1
V027,Uneven_Bars,Flip,7.1,9.02,1
V027,Uneven_Bars,Spin,3.9,6.82,1
V028,Uneven_Bars,Spin,1.39,6.29,0
V028,Uneven_Bars,Leap,11.26,14.66,1
V028,Uneven_Bars,Roll,31.07,34.94,1
V028,Uneven_Bars,Leap,15.13,18.56,1
V028,Uneven_Bars,Leap,44.13,47.0,1
V029,Uneven_Bars,Roll,28.17,32.94,1
V029,Uneven_Bars,Flip,5.75,7.12,0
V029,Uneven_Bars,Handstand,41.22,44.3,1
V029,Uneven_Bars,Leap,33.39,36.15,0
V029,Uneven_Bars,Roll,27.65,32.31,1
V030,Balance_Beam,Roll,22.43,25.31,0
V030,Balance_Beam,Roll,49.38,53.96,0
V030,Balance_Beam,Roll,5.62,6.66,1
V030,Balance_Beam,Spin,47.24,51.96,1
V030,Balance_Beam,Handstand,40.79,43.47,0
V031,Floor,Spin,14.5,18.89,0
V031,Floor,Flip,14.76,17.03,1
V031,Floor,Spin,18.34,22.16,0
V031,Floor,Spin,21.83,25.93,1
V031,Floor,Flip,21.08,22.98,1
V032,Balance_Beam,Leap,12.19,15.41,0
V032,Balance_Beam,Handstand,23.85,27.08,0
V032,Balance_Beam,Roll,38.34,42.27,0
V032,Balance_Beam,Flip,16.21,19.42,0
V032,Balance_Beam,Leap,14.7,18.94,1
V033,Uneven_Bars,Flip,37.7,41.9,1
V033,Uneven_Bars,Spin,14.97,16.15,0
V033,Uneven_Bars,Leap,22.79,26.42,1
V033,Uneven_Bars,Leap,40.96,42.51,0
V033,Uneven_Bars,Roll,34.05,38.53,1
V034,Floor,Leap,24.01,26.96,1
V034,Floor,Handstand,41.64,46.27,1
V034,Floor,Handstand,40.51,42.93,0
V034,Floor,Spin,40.22,43.48,1
V034,Floor,Leap,5.27,9.99,1
V035,Vault,Spin,22.93,26.11,1
V035,Vault,Handstand,32.08,35.1,1
V035,Vault,Spin,29.45,33.53,1
V035,Vault,Handstand,37.41,40.55,0
V035,Vault,Swing,21.29,25.09,1
V036,Floor,Roll,14.99,19.91,1
V036,Floor,Swing,3.83,4.97,1
V036,Floor,Swing,36.31,40.79,1
V036,Floor,Spin,35.66,39.12,1
V036,Floor,Leap,41.07,45.08,1
V037,Balance_Beam,Spin,41.64,45.74,1
V037,Balance_Beam,Spin,15.8,19.14,1
V037,Balance_Beam,Handstand,44.9,49.84,1
V037,Balance_Beam,Flip,21.38,26.16,1
V037,Balance_Beam,Roll,31.59,33.4,1
V038,Balance_Beam,Handstand,5.4,7.46,0
V038,Balance_Beam,Roll,2.35,6.76,1
V038,Balance_Beam,Flip,23.24,25.13,0
V038,Balance_Beam,Swing,1.12,4.11,1
V038,Balance_Beam,Leap,14.25,18.51,1
V039,Uneven_Bars,Roll,39.63,43.86,0
V039,Uneven_Bars,Swing,18.72,22.2,1
V039,Uneven_Bars,Leap,35.26,39.74,1
